學號,最高學歷畢業學校
65fS6c177,成功高中
c0aS6c579,台中女中
f1bS65166,台中二中高中
0d4S6857e,曉明女中
3c3S6bf72,聖功女中
b80S64a9b,花蓮高中
757S6799a,花蓮高中
759S6574e,新莊高中
40bS6f627,新店高中
388S6a519,內壢高中
2a1S65ab5,中山女中
b89S659df,成功高中
421S6a495,彰化女中
f17S63913,嘉義高中
358S69002,馬祖高中
653S6280d,高雄師範大學附中
82eS647a2,新莊高中
02aS6fdcb,淡江高中
87aS69fe3,樹林高中
cb7S696c8,松山高中
ca7S6b5b6,松山高中
087S63385,新店高中
6a0S692b4,東山高中
4c1S60004,新店高中
e62S6307d,大同高中
05fS6e591,成功高中
6b2S62c8f,和平高中
f3cS659fd,松山高中
97dS6bbe5,明倫高中
114S6b424,明倫高中
beeS60b96,大直高中
280S6f6d0,中正高中
e2eS6a8ea,中正高中
322S67200,中山女中
f78S61be9,中山女中
455S6c98f,中山女中
37fS68322,中山女中
df0S66832,中山女中
bcfS6c80a,育成高中
f99S67c45,南湖高中
26eS6aad3,內湖高中
fdfS6a7ba,板橋高中
2fbS6323e,海山高中
4f3S6c734,新莊高中
12dS66dc8,中山女中
f96S61f01,成功高中
6d8S68881,內湖高中
6ecS6ab91,松山高中
cd5S6dd44,松山高中
119S612ea,大同高中
b5dS6f70b,格致高中
2b5S67526,松山高中
507S65eca,內湖高中
a5aS67e09,西松高中
08bS6fc68,桃園高中
ad3S63d2f,內壢高中
8deS6314a,桃園高中
61cS6872c,內壢高中
394S6a3ce,中壢高中
145S6f91d,台中女中
dddS6550a,台中二中高中
5e6S63134,明道高中
b4fS6f0d5,精誠高中
95aS66468,彰化女中
3acS66e58,台中一中高中
ad9S6bb3b,嘉義高中
bc2S6a582,新港藝術高中
62dS616b4,嘉義女中
3fcS689a0,嘉義女中
4bfS6c5dd,嘉義高中
0a3S6410c,高雄女中
091S64b82,高雄女中
fa9S63418,高雄師範大學附中
346S60c08,高雄高工
0dfS63dc7,羅東高中
e8cS6d228,宜蘭高中
bd0S63eef,台中一中高中
ea1S6e61f,和平高中
103S69d0a,南港高中
747S69f22,中和高中
025S69dc0,永平高中
96aS644d7,清水高中
621S6df92,蘭陽女中
daeS6d917,新竹女中
50dS63836,中興大學附中
f69S660fa,中興大學附中
985S6504e,家齊女中
5d4S63fe6,黎明高中
780S6a66a,鳳新高中
bccS6d0e3,金甌女中
617S6e8b7,木柵高工
2d5S64ee2,竹林高中
97dS64061,清水高中
ab4S651a4,新港藝術高中
f06S69e36,前鎮高中
adcS6ff74,屏北高中
ec4S613a3,松山高中
c9eS6ed4f,松山高中
5aaS60ebe,師範大學附中
a04S6c257,師範大學附中
13dS6d8bf,大同高中
534S616e4,永春高中
e1dS66a83,成功高中
956S631e2,永春高中
96fS6f35e,成功高中
127S66295,延平高中
1a1S69657,西松高中
0faS6b677,新店高中
5d1S69ca8,景美女中
a38S6375e,政治大學附中
1ddS6fa69,明倫高中
607S6b3a1,建國高中
041S657b4,中正高中
d87S6f351,景美女中
c9cS64454,中山女中
684S60d33,第一女中
25bS686df,中山女中
e6bS6596c,聖心女中
9d7S6562a,衛理女中
9ebS6b595,內湖高中
36bS67c60,內湖高中
2a8S642a3,內湖高中
380S6457c,第一女中
e81S600b2,松山高中
0c5S611ff,東山高中
57fS6e5a0,板橋高中
268S6ca97,大同高中
e11S6746d,中和高中
54bS6d429,松山高中
bcfS6c8dc,成功高中
8a3S6fe3f,中山女中
998S6e30f,景美女中
74eS6c382,景美女中
70cS67c8a,第一女中
e55S661a6,大同高中
077S6c461,桃園高中
733S6cd96,武陵高中
874S607dd,內壢高中
fdaS623bf,中壢高中
762S61c6e,中壢高中
51cS651d8,新竹女中
aeaS6e951,新竹女中
d44S695a7,明道高中
fc9S6f434,中興大學附中
25dS68a79,惠文高中
d43S630ee,台中一中高中
810S6e4a3,台中女中
c71S6429f,台中女中
eafS6e1b9,台中二中高中
3b4S6fc78,文華高中
f0dS6e68e,文華高中
7d2S66ce1,明道高中
a26S691e9,豐原高中
bf0S63410,明道高中
6d7S6f0fb,嘉義女中
cd1S66dbb,嘉義高中
e83S689ce,嘉義女中
958S6646a,台南一中高中
222S64487,台南女中
cd2S6d3ff,台南女中
c3fS66da8,新營高中
87dS63c49,前鎮高中
a7aS6a6c1,高雄師範大學附中
c47S65cba,鳳山高中
7a9S6955d,新莊高中
9dfS6bed9,羅東高中
9c6S6628f,花蓮高中
de6S60462,台中一中高中
5adS60a1c,中興大學附中
83eS6a8eb,中正高中
c1aS68d60,師範大學附中
7dcS6084f,中壢高中
dfdS60ce4,永春高中
337S6e7de,辭修高中
e9fS61231,內壢高中
4bcS674e9,竹東高中
c7eS6b75d,中興大學附中
7a2S63174,員林高中
258S6aad4,新莊高中
1e7S63ea7,景美女中
b9dS67de2,內湖高中
fa0S6450e,內湖高中
9a3S6cab8,成功高中
5ddS63d3d,麗山高中
013S668c8,延平高中
027S6ccea,啟英高中
3bbS6a72f,文華高中
202S6328a,協同高中
097S68db5,臺東高中
b87S62d02,松山高中
f0aS6034c,成淵高中
936S612c3,第一女中
034S64ab7,內湖高中
20aS6b56a,板橋高中
540S66b04,海山高中
ab5S6d825,第一女中
5abS6ae04,新莊高中
bbcS6b1e4,中山女中
5bbS6673c,中和高中
a65S64cd5,竹林高中
0f1S63fa7,武陵高中
16bS643d1,內壢高中
96bS6c69e,平鎮高中
586S63e66,新竹女中
91dS6c710,台中一中高中
326S64157,鳳山高中
66cS60a54,薇閣高中
d7dS6450f,成功高中
5faS64422,新竹女中
0cfS6fc02,台中女中
6c1S64837,高雄師範大學附中
ab7S66574,道明高中
791S65d29,成功高中
03eS6dbbb,成功高中
236S6f938,內湖高中
604S60821,中和高中
082S667b7,新竹女中
8f2S673db,衛道高中
419S6238d,彰化高商
bb8S6ee52,師範大學附中
