入學年,經原學年期,個經學年期,總經學年期,經原PR,個經PR,總經PR,可修個體,可修總體
103,103-2,104-1,104-1,0.01818181818181818,0.52,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.3333333333333333,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,104-1,NA,NA,0.08064516129032258,NA,NA,0,0
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,104-2,104-1,NA,0.3103448275862069,0.3333333333333333,NA,1,0
103,103-2,104-1,104-1,0.4,0.3333333333333333,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.14285714285714285,1,1
103,104-1,105-1,104-1,0.08,0.05357142857142857,0.8225806451612904,0,1
103,104-2,NA,NA,0.8,NA,NA,0,0
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.3333333333333333,0.14285714285714285,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.8225806451612904,1,1
103,104-1,105-1,104-1,0.08,0.3888888888888889,0.09615384615384616,0,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.52,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.36363636363636365,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.01694915254237288,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.4,0.3333333333333333,0.8225806451612904,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.09615384615384616,1,1
103,105-2,106-1,106-1,0.125,0.23529411764705882,0.37254901960784315,0,0
103,103-2,104-1,104-1,0.01818181818181818,0.01694915254237288,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.09615384615384616,1,1
103,103-2,104-1,104-1,0.01818181818181818,0.3333333333333333,0.09615384615384616,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.78125,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.78125,0.6065573770491803,1,1
104,105-1,106-1,105-1,0.3,0.23529411764705882,0.6065573770491803,0,1
104,104-2,105-1,105-1,0.9333333333333333,0.05357142857142857,0.2711864406779661,1,1
104,104-2,105-1,105-1,0.9333333333333333,0.78125,0.6065573770491803,1,1
104,104-2,105-1,105-1,0.3103448275862069,0.05357142857142857,0.2711864406779661,1,1
