銀行,年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-機動,定存利率-三個月-固定,定存利率-三個月-機動,定存利率-六個月-固定,定存利率-六個月-機動,定存利率-九個月-固定,定存利率-九個月-機動,定存利率-一年期-固定,定存利率-一年期-機動,定存利率-二年期-固定,定存利率-二年期-機動,定存利率-三年期-固定,定存利率-三年期-機動,定儲利率-一年期-固定,定儲利率-一年期-機動,定儲利率-二年期-固定,定儲利率-二年期-機動,定儲利率-三年期-固定,定儲利率-三年期-機動,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
第一銀行,093/03,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.330
第一銀行,093/04,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/05,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/06,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/07,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/08,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/09,--,0.100,--,0.550,1.025,1.025,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.475,1.425,1.425,1.500,1.500,1.600,1.525,--,1.425,NA,NA,--,3.300
第一銀行,093/10,--,0.100,--,0.550,1.155,1.155,1.175,1.175,1.275,1.275,1.375,1.375,1.525,1.500,1.600,1.575,1.625,1.575,1.550,1.525,1.625,1.600,1.700,1.625,--,1.520,NA,NA,--,3.450
第一銀行,093/11,--,0.100,--,0.550,1.155,1.155,1.175,1.175,1.275,1.275,1.375,1.375,1.525,1.500,1.600,1.575,1.625,1.575,1.550,1.525,1.625,1.600,1.700,1.625,--,1.520,NA,NA,--,3.450
第一銀行,093/12,--,0.100,--,0.550,1.155,1.155,1.175,1.175,1.275,1.275,1.375,1.375,1.525,1.500,1.600,1.575,1.625,1.575,1.550,1.525,1.625,1.600,1.700,1.625,--,1.520,NA,NA,--,3.450
第一銀行,094/01,--,0.100,--,0.550,1.220,1.220,1.240,1.240,1.340,1.340,1.440,1.440,1.595,1.565,1.675,1.640,1.700,1.640,1.625,1.590,1.705,1.665,1.775,1.690,--,1.620,NA,NA,--,3.540
第一銀行,094/02,--,0.100,--,0.550,1.220,1.220,1.240,1.240,1.340,1.340,1.440,1.440,1.595,1.565,1.675,1.640,1.700,1.640,1.625,1.590,1.705,1.665,1.775,1.690,--,1.620,NA,NA,--,3.540
第一銀行,094/03,--,0.100,--,0.550,1.290,1.290,1.310,1.310,1.440,1.420,1.540,1.520,1.690,1.645,1.770,1.720,1.800,1.720,1.720,1.670,1.800,1.745,1.850,1.770,--,1.620,NA,NA,--,3.540
第一銀行,094/04,--,0.100,--,0.550,1.290,1.290,1.310,1.310,1.440,1.420,1.540,1.520,1.690,1.645,1.770,1.720,1.800,1.720,1.720,1.670,1.800,1.745,1.850,1.770,--,1.710,NA,NA,--,3.610
第一銀行,094/05,--,0.100,--,0.550,1.290,1.290,1.310,1.310,1.440,1.420,1.540,1.520,1.690,1.645,1.770,1.720,1.800,1.720,1.720,1.670,1.800,1.745,1.850,1.770,--,1.710,NA,NA,--,3.610
第一銀行,094/06,--,0.100,--,0.550,1.290,1.290,1.310,1.310,1.440,1.420,1.540,1.520,1.690,1.645,1.770,1.720,1.800,1.720,1.720,1.670,1.800,1.745,1.850,1.770,--,1.710,NA,NA,--,3.610
第一銀行,094/07,--,0.100,--,0.550,1.360,1.360,1.390,1.390,1.530,1.510,1.640,1.620,1.790,1.745,1.870,1.820,1.900,1.820,1.820,1.770,1.900,1.845,1.950,1.870,--,1.820,NA,NA,--,3.670
第一銀行,094/08,--,0.100,--,0.550,1.360,1.360,1.390,1.390,1.530,1.510,1.640,1.620,1.790,1.745,1.870,1.820,1.900,1.820,1.820,1.770,1.900,1.845,1.950,1.870,--,1.820,NA,NA,--,3.670
