銀行,年月,定存利率-三個月-固定,定存利率-一年期-固定
臺灣銀行,101/01,0.940,1.355
臺灣銀行,101/02,0.940,1.355
臺灣銀行,101/03,0.940,1.355
臺灣銀行,101/04,0.940,1.355
臺灣銀行,101/05,0.940,1.355
臺灣銀行,101/06,0.940,1.355
臺灣銀行,101/07,0.940,1.355
臺灣銀行,101/08,0.940,1.355
臺灣銀行,101/09,0.940,1.355
臺灣銀行,101/10,0.940,1.355
臺灣銀行,101/11,0.940,1.355
臺灣銀行,101/12,0.940,1.355
臺灣銀行,102/01,0.940,1.355
臺灣銀行,102/02,0.940,1.355
臺灣銀行,102/03,0.940,1.355
臺灣銀行,102/04,0.940,1.355
臺灣銀行,102/05,0.940,1.355
臺灣銀行,102/06,0.940,1.355
臺灣銀行,102/07,0.940,1.355
臺灣銀行,102/08,0.940,1.355
臺灣銀行,102/09,0.940,1.355
臺灣銀行,102/10,0.940,1.355
臺灣銀行,102/11,0.940,1.355
臺灣銀行,102/12,0.940,1.355
臺灣銀行,103/01,0.940,1.355
臺灣銀行,103/02,0.940,1.355
臺灣銀行,103/03,0.940,1.355
臺灣銀行,103/04,0.940,1.355
臺灣銀行,103/05,0.940,1.355
臺灣銀行,103/06,0.940,1.355
臺灣銀行,103/07,0.940,1.355
臺灣銀行,103/08,0.940,1.355
臺灣銀行,103/09,0.940,1.355
臺灣銀行,103/10,0.940,1.355
臺灣銀行,103/11,0.940,1.355
臺灣銀行,103/12,0.940,1.355
臺灣銀行,104/01,0.940,1.355
臺灣銀行,104/02,0.940,1.355
臺灣銀行,104/03,0.940,1.355
臺灣銀行,104/04,0.940,1.355
臺灣銀行,104/05,0.940,1.355
臺灣銀行,104/06,0.940,1.355
臺灣銀行,104/07,0.940,1.355
臺灣銀行,104/08,0.940,1.355
臺灣銀行,104/09,0.870,1.285
臺灣銀行,104/10,0.870,1.285
臺灣銀行,104/11,0.870,1.285
臺灣銀行,104/12,0.800,1.205
臺灣銀行,105/01,0.800,1.205
臺灣銀行,105/02,0.800,1.205
臺灣銀行,105/03,0.730,1.125
臺灣銀行,105/04,0.730,1.125
臺灣銀行,105/05,0.730,1.125
臺灣銀行,105/06,0.730,1.125
臺灣銀行,105/07,0.630,1.035
臺灣銀行,105/08,0.630,1.035
臺灣銀行,105/09,0.630,1.035
臺灣銀行,105/10,0.630,1.035
臺灣銀行,105/11,0.630,1.035
臺灣銀行,105/12,0.630,1.035
臺灣銀行,106/01,0.630,1.035
臺灣銀行,106/02,0.630,1.035
臺灣銀行,106/03,0.630,1.035
臺灣銀行,106/04,0.630,1.035
臺灣銀行,106/05,0.630,1.035
臺灣銀行,106/06,0.630,1.035
臺灣銀行,106/07,0.630,1.035
臺灣銀行,106/08,0.630,1.035
臺灣銀行,106/09,0.630,1.035
臺灣銀行,106/10,0.630,1.035
臺灣銀行,106/11,0.630,1.035
臺灣銀行,106/12,0.630,1.035
臺灣銀行,107/01,0.630,1.035
臺灣銀行,107/02,0.630,1.035
臺灣銀行,107/03,0.630,1.035
臺灣銀行,107/04,0.630,1.035
臺灣銀行,107/05,0.630,1.035
臺灣銀行,107/06,0.630,1.035
臺灣銀行,107/07,0.630,1.035
臺灣銀行,107/08,0.630,1.035
合作金庫,090/01,4.600,5.000
合作金庫,090/02,4.450,4.800
合作金庫,090/03,4.250,4.650
合作金庫,090/04,3.900,4.200
合作金庫,090/05,3.800,4.100
合作金庫,090/06,3.800,4.100
合作金庫,090/07,3.600,3.900
合作金庫,090/08,3.350,3.650
合作金庫,090/09,2.900,3.150
合作金庫,090/10,2.550,2.800
合作金庫,090/11,2.250,2.500
合作金庫,090/12,2.050,2.300
合作金庫,091/01,2.050,2.300
合作金庫,091/02,2.050,2.300
合作金庫,091/03,2.050,2.300
合作金庫,091/04,2.150,2.400
合作金庫,091/05,2.150,2.400
合作金庫,091/06,2.050,2.300
合作金庫,091/07,1.850,2.125
合作金庫,091/08,1.850,2.125
合作金庫,091/09,1.850,2.125
合作金庫,091/10,1.850,2.125
合作金庫,091/11,1.600,1.875
合作金庫,091/12,1.600,1.875
合作金庫,092/01,1.250,1.525
合作金庫,092/02,1.250,1.525
合作金庫,092/03,1.250,1.525
合作金庫,092/04,1.250,1.525
合作金庫,092/05,1.250,1.525
合作金庫,092/06,1.250,1.525
合作金庫,092/07,1.125,1.400
合作金庫,092/08,1.125,1.400
合作金庫,092/09,1.125,1.400
合作金庫,092/10,1.125,1.400
合作金庫,092/11,1.125,1.400
合作金庫,092/12,1.125,1.400
合作金庫,093/01,1.125,1.400
合作金庫,093/02,1.125,1.400
合作金庫,093/03,1.125,1.400
合作金庫,093/04,1.125,1.400
合作金庫,093/05,1.125,1.400
合作金庫,093/06,1.125,1.400
合作金庫,093/07,1.125,1.400
合作金庫,093/08,1.125,1.400
合作金庫,093/09,1.125,1.400
合作金庫,093/10,1.200,1.525
合作金庫,093/11,1.200,1.525
合作金庫,093/12,1.200,1.525
合作金庫,094/01,1.265,1.590
合作金庫,094/02,1.265,1.590
合作金庫,094/03,1.335,1.670
合作金庫,094/04,1.335,1.690
合作金庫,094/05,1.335,1.690
合作金庫,094/06,1.335,1.690
合作金庫,094/07,1.415,1.790
合作金庫,094/08,1.415,1.790
合作金庫,094/09,1.495,1.890
合作金庫,094/10,1.495,1.890
合作金庫,094/11,1.495,1.890
合作金庫,094/12,1.575,1.990
合作金庫,095/01,1.575,1.990
