期間,幣別,匯率,年月,年份,月份,年初匯率,調整後匯率,月升值率
1990-09-01,人民幣CNY/USD,68.4560742244129,1990-09-01,1990,9,68.4560742244129,100,-0
1990-10-01,人民幣CNY/USD,68.4560742244129,1990-10-01,1990,10,68.4560742244129,100,-0
1990-11-01,人民幣CNY/USD,71.83821397506522,1990-11-01,1990,11,68.4560742244129,104.94059846254838,-0.04940598462548369
1990-12-01,人民幣CNY/USD,75.70455204407081,1990-12-01,1990,12,68.4560742244129,110.5885093496538,-0.053820075069622206
1991-01-01,人民幣CNY/USD,75.70455204407081,1991-01-01,1991,1,75.70455204407081,100,-0
1991-02-01,人民幣CNY/USD,75.70455204407081,1991-02-01,1991,2,75.70455204407081,100,-0
1991-03-01,人民幣CNY/USD,75.70455204407081,1991-03-01,1991,3,75.70455204407081,100,-0
1991-04-01,人民幣CNY/USD,76.3395187010728,1991-04-01,1991,4,75.70455204407081,100.83874303441141,-0.00838743034411399
1991-05-01,人民幣CNY/USD,77.03537257175986,1991-05-01,1991,5,75.70455204407081,101.75791348308134,-0.009115250954251575
1991-06-01,人民幣CNY/USD,77.60945201507678,1991-06-01,1991,6,75.70455204407081,102.51622910323417,-0.007452153785355591
1991-07-01,人民幣CNY/USD,77.63844592635549,1991-07-01,1991,7,75.70455204407081,102.55452787192887,-3.7358737274773414e-4
1991-08-01,人民幣CNY/USD,77.69353435778477,1991-08-01,1991,8,75.70455204407081,102.62729553244843,-7.095509289500401e-4
1991-09-01,人民幣CNY/USD,77.89939112786308,1991-09-01,1991,9,75.70455204407081,102.89921679018002,-0.0026495997611632196
1991-10-01,人民幣CNY/USD,77.97912438387941,1991-10-01,1991,10,75.70455204407081,103.00453840409025,-0.0010235414534300064
1991-11-01,人民幣CNY/USD,78.2937083212525,1991-11-01,1991,11,75.70455204407081,103.42008004442643,-0.004034207101690928
1991-12-01,人民幣CNY/USD,78.47347057117999,1991-12-01,1991,12,75.70455204407081,103.65753241033285,-0.0022959986668391916
1992-01-01,人民幣CNY/USD,85.16091620759639,1992-01-01,1992,1,85.16091620759639,100,-0.08521919048234904
1992-02-01,人民幣CNY/USD,85.67700782835598,1992-02-01,1992,2,85.16091620759639,100.60601933814513,-0.006060193381451202
1992-03-01,人民幣CNY/USD,86.9092490576979,1992-03-01,1992,3,85.16091620759639,102.05297562304241,-0.014382402707276809
1992-04-01,人民幣CNY/USD,88.61264134531751,1992-04-01,1992,4,85.16091620759639,104.0531798992238,-0.019599666388657296
1992-05-01,人民幣CNY/USD,91.25833574949259,1992-05-01,1992,5,85.16091620759639,107.15988015797357,-0.029856850715745863
1992-06-01,人民幣CNY/USD,93.2879095389968,1992-06-01,1992,6,85.16091620759639,109.54310227427484,-0.022239872915012008
1992-07-01,人民幣CNY/USD,97.09336039431722,1992-07-01,1992,7,85.16091620759639,114.0116437423397,-0.04079254079254115
1992-08-01,人民幣CNY/USD,102.31226442447101,1992-08-01,1992,8,85.16091620759639,120.13992918425731,-0.05375139977603713
1992-09-01,人民幣CNY/USD,100.53638735865498,1992-09-01,1992,9,85.16091620759639,118.0546098324939,0.017357421183137055
1992-10-01,人民幣CNY/USD,99.6665700202957,1992-10-01,1992,10,85.16091620759639,117.03322892550725,0.008651766402310478
1992-11-01,人民幣CNY/USD,101.6961438098,1992-11-01,1992,11,85.16091620759639,119.41645104180863,-0.020363636363637454
1992-12-01,人民幣CNY/USD,106.37141200347898,1992-12-01,1992,12,85.16091620759639,124.90637341685928,-0.04597291518174988
1993-01-01,人民幣CNY/USD,115.843722818208,1993-01-01,1993,1,115.843722818208,100,-0.08904940374787178
1993-02-01,人民幣CNY/USD,124.18382139750598,1993-02-01,1993,2,115.843722818208,107.19943936227429,-0.07199439362274287
1993-03-01,人民幣CNY/USD,118.040011597565,1993-03-01,1993,3,115.843722818208,101.89590659375096,0.049473512175752465
1993-04-01,人民幣CNY/USD,119.22586256886099,1993-04-01,1993,4,115.843722818208,102.91957101202674,-0.010046178031047008
1993-05-01,人民幣CNY/USD,124.73325601623701,1993-05-01,1993,5,115.843722818208,107.67372886658626,-0.04619294277862847
1993-06-01,人民幣CNY/USD,151.132212235431,1993-06-01,1993,6,115.843722818208,130.46215069641778,-0.21164328634023272
1993-07-01,人民幣CNY/USD,128.325601623659,1993-07-01,1993,7,115.843722818208,110.77475628527465,0.15090502728990887
1993-08-01,人民幣CNY/USD,126.716439547695,1993-08-01,1993,8,115.843722818208,109.38567620668529,0.012539680746505983
1993-09-01,人民幣CNY/USD,126.452594955059,1993-09-01,1993,9,115.843722818208,109.15791713073601,0.00208216545207377
1993-10-01,人民幣CNY/USD,126.33227022325299,1993-10-01,1993,10,115.843722818208,109.05404898071562,9.515402340993561e-4
1993-11-01,人民幣CNY/USD,126.12351406204701,1993-11-01,1993,11,115.843722818208,108.8738439975474,0.0016524373450827043
1993-12-01,人民幣CNY/USD,126.12206436648297,1993-12-01,1993,12,115.843722818208,108.8725925740531,1.1494252874374998e-5
1994-01-01,人民幣CNY/USD,126.12351406204701,1994-01-01,1994,1,126.12351406204701,100,-1.1494384993742751e-5
1994-02-01,人民幣CNY/USD,126.164105537837,1994-02-01,1994,2,126.12351406204701,100.03218390804591,-3.218390804590637e-4
1994-03-01,人民幣CNY/USD,126.164105537837,1994-03-01,1994,3,126.12351406204701,100.03218390804591,-0
1994-04-01,人民幣CNY/USD,126.05827776167,1994-04-01,1994,4,126.12351406204701,99.9482758620689,8.388104977708262e-4
1994-05-01,人民幣CNY/USD,125.61467091910701,1994-05-01,1994,5,126.12351406204701,99.59655172413791,0.0035190615835771094
1994-06-01,人民幣CNY/USD,125.50304436068399,1994-06-01,1994,6,126.12351406204701,99.50804597701125,8.886426848573383e-4
1994-07-01,人民幣CNY/USD,125.25804581037998,1994-07-01,1994,7,126.12351406204701,99.31379310344838,0.0019521323291561048
1994-08-01,人民幣CNY/USD,124.52594955059398,1994-08-01,1994,8,126.12351406204701,98.73333333333298,0.005844704466284566
1994-09-01,人民幣CNY/USD,123.80835024644799,1994-09-01,1994,9,126.12351406204701,98.16436781609173,0.005762648722902824
1994-10-01,人民幣CNY/USD,123.64888373441599,1994-10-01,1994,10,126.12351406204701,98.03793103448291,0.0012880109597985083
1994-11-01,人民幣CNY/USD,123.46912148448801,1994-11-01,1994,11,126.12351406204701,97.89540229885036,0.0014538121534043498
1994-12-01,人民幣CNY/USD,123.008118295158,1994-12-01,1994,12,126.12351406204701,97.52988505747122,0.003733752891308395
1995-01-01,人民幣CNY/USD,122.37315163815599,1995-01-01,1995,1,122.37315163815599,100,0.005161989841015273
1995-02-01,人民幣CNY/USD,122.28761959988401,1995-02-01,1995,2,122.37315163815599,99.9301055524623,6.989444753771405e-4
1995-03-01,人民幣CNY/USD,122.174543345897,1995-03-01,1995,3,122.37315163815599,99.83770272351386,9.24674585677442e-4
1995-04-01,人民幣CNY/USD,122.10060887213699,1995-04-01,1995,4,122.37315163815599,99.777285489202,6.051544923781546e-4
1995-05-01,人民幣CNY/USD,120.58567700782798,1995-05-01,1995,5,122.37315163815599,98.53932451162704,0.012407242505198585
1995-06-01,人民幣CNY/USD,120.337779066396,1995-06-01,1995,6,122.37315163815599,98.33674907893328,0.0020557826400551204
1995-07-01,人民幣CNY/USD,120.33487967526801,1995-07-01,1995,7,122.37315163815599,98.33437977562683,2.4093772965370446e-5
1995-08-01,人民幣CNY/USD,120.433458973616,1995-08-01,1995,8,122.37315163815599,98.41493608804367,-8.192080186061469e-4
1995-09-01,人民幣CNY/USD,120.59292548564802,1995-09-01,1995,9,122.37315163815599,98.54524776989328,-0.001324104724642684
1995-10-01,人民幣CNY/USD,120.54943461873,1995-10-01,1995,10,122.37315163815599,98.50970822029777,3.606419426585369e-4
1995-11-01,人民幣CNY/USD,120.52044070745097,1995-11-01,1995,11,122.37315163815599,98.48601518723382,2.4051470146443878e-4
1995-12-01,人民幣CNY/USD,120.55088431429398,1995-12-01,1995,12,122.37315163815599,98.51089287195099,-2.5260119083787684e-4
1996-01-01,人民幣CNY/USD,120.59437518121202,1996-01-01,1996,1,120.59437518121202,100,-3.607677136954664e-4
1996-02-01,人民幣CNY/USD,120.51609162076001,1996-02-01,1996,2,120.59437518121202,99.9350852306881,6.4914769311897e-4
1996-03-01,人民幣CNY/USD,120.74369382429703,1996-03-01,1996,3,120.59437518121202,100.12381891183617,-0.0018885627676446402
1996-04-01,人民幣CNY/USD,120.781385908959,1996-04-01,1996,4,120.59437518121202,100.1550741711344,-3.1216607234840955e-4
1996-05-01,人民幣CNY/USD,120.742244128733,1996-05-01,1996,5,120.59437518121202,100.12261678647847,3.2407129568370115e-4
1996-06-01,人民幣CNY/USD,120.650913308205,1996-06-01,1996,6,120.59437518121202,100.04688288894738,7.564114878519669e-4
1996-07-01,人民幣CNY/USD,120.55668309654999,1996-07-01,1996,7,120.59437518121202,99.96874474070172,7.810153199114525e-4
1996-08-01,人民幣CNY/USD,120.442157146999,1996-08-01,1996,8,120.59437518121202,99.87377683744843,9.499759499792686e-4
1996-09-01,人民幣CNY/USD,120.38706871557,1996-09-01,1996,9,120.59437518121202,99.82809607385875,4.57384961660589e-4
1996-10-01,人民幣CNY/USD,120.32328211075698,1996-10-01,1996,10,120.59437518121202,99.7752025581229,5.298459834064228e-4
1996-11-01,人民幣CNY/USD,120.31458393737302,1996-11-01,1996,11,120.59437518121202,99.7679898059768,7.229002759379142e-5
1996-12-01,人民幣CNY/USD,120.31023485068098,1996-12-01,1996,12,120.59437518121202,99.7643834299037,3.614762691025587e-5
1997-01-01,人民幣CNY/USD,120.271093070455,1997-01-01,1997,1,120.271093070455,100,3.253404024567733e-4
1997-02-01,人民幣CNY/USD,120.22180342128202,1997-02-01,1997,2,120.271093070455,99.95901787543903,4.098212456097216e-4
1997-03-01,人民幣CNY/USD,120.262394897072,1997-03-01,1997,3,120.271093070455,99.99276786037198,-3.3763822064571667e-4
1997-04-01,人民幣CNY/USD,120.262394897072,1997-04-01,1997,4,120.271093070455,99.99276786037198,-0
1997-05-01,人民幣CNY/USD,120.22180342128202,1997-05-01,1997,5,120.271093070455,99.95901787543903,3.375242595552956e-4
1997-06-01,人民幣CNY/USD,120.21020585677,1997-06-01,1997,6,120.271093070455,99.94937502260055,9.646806304656418e-5
1997-07-01,人民幣CNY/USD,120.19570890113098,1997-07-01,1997,7,120.271093070455,99.93732145655329,1.205967125311394e-4
1997-08-01,人民幣CNY/USD,120.17106407654398,1997-08-01,1997,8,120.271093070455,99.91683039427237,2.0503913835453078e-4
1997-09-01,人民幣CNY/USD,120.139170774137,1997-09-01,1997,9,120.271093070455,99.89031254896743,2.653991845047677e-4
1997-10-01,人民幣CNY/USD,120.08988112496398,1997-10-01,1997,10,120.271093070455,99.84933042440642,4.102712616993533e-4
1997-11-01,人民幣CNY/USD,120.05073934473799,1997-11-01,1997,11,120.271093070455,99.81678579607826,3.2593737173625007e-4
1997-12-01,人民幣CNY/USD,120.028993911279,1997-12-01,1997,12,120.271093070455,99.79870544700698,1.811353564141291e-4
1998-01-01,人民幣CNY/USD,120.03189330240599,1998-01-01,1998,1,120.03189330240599,100,-2.415575630943817e-5
1998-02-01,人民幣CNY/USD,120.020295737895,1998-02-01,1998,2,120.03189330240599,99.99033793086828,9.662069131721534e-5
1998-03-01,人民幣CNY/USD,120.023195129023,1998-03-01,1998,3,120.03189330240599,99.99275344815142,-2.4157506946397363e-5
1998-04-01,人民幣CNY/USD,120.023195129023,1998-04-01,1998,4,120.03189330240599,99.99275344815142,-0
1998-05-01,人民幣CNY/USD,120.020295737895,1998-05-01,1998,5,120.03189330240599,99.99033793086828,2.415692337535312e-5
1998-06-01,人民幣CNY/USD,120.03044360684301,1998-06-01,1998,6,120.03189330240599,99.99879224135928,-8.455127431256837e-5
1998-07-01,人民幣CNY/USD,120.03189330240599,1998-07-01,1998,7,120.03189330240599,100,-1.207773227707798e-5
1998-08-01,人民幣CNY/USD,120.03334299797,1998-08-01,1998,8,120.03189330240599,100.00120775864157,-1.2077586415747046e-5
1998-09-01,人民幣CNY/USD,120.020295737895,1998-09-01,1998,9,120.03189330240599,99.99033793086828,1.0869696493597524e-4
1998-10-01,人民幣CNY/USD,120.002899391128,1998-10-01,1998,10,120.03189330240599,99.97584482717026,1.4494504167021432e-4
1998-11-01,人民幣CNY/USD,120.002899391128,1998-11-01,1998,11,120.03189330240599,99.97584482717026,-0
1998-12-01,人民幣CNY/USD,120.004349086692,1998-12-01,1998,12,120.03189330240599,99.97705258581185,-1.2080504482483494e-5
1999-01-01,人民幣CNY/USD,120.020295737895,1999-01-01,1999,1,120.020295737895,100,-1.328839439933558e-4
1999-02-01,人民幣CNY/USD,120.00579878225598,1999-02-01,1999,2,120.020295737895,99.9879212465276,1.2078753472393536e-4
1999-03-01,人民幣CNY/USD,120.02174543345897,1999-03-01,1999,3,120.020295737895,100.00120787534729,-1.3288233872705963e-4
1999-04-01,人民幣CNY/USD,120.023195129023,1999-04-01,1999,4,120.020295737895,100.00241575069464,-1.2078607578853045e-5
1999-05-01,人民幣CNY/USD,120.01304726007501,1999-05-01,1999,5,120.020295737895,99.9939606232634,8.454923181367671e-5
1999-06-01,人民幣CNY/USD,120.00579878225598,1999-06-01,1999,6,120.020295737895,99.9879212465276,6.039741498543129e-5
1999-07-01,人民幣CNY/USD,120,1999-07-01,1999,7,120.020295737895,99.98308974513834,4.832085044907783e-5
1999-08-01,人民幣CNY/USD,119.99565091330801,1999-08-01,1999,8,120.020295737895,99.97946611909639,3.6242389099901594e-5
1999-09-01,人民幣CNY/USD,119.99710060887203,1999-09-01,1999,9,120.020295737895,99.98067399444372,-1.2081234219622631e-5
1999-10-01,人民幣CNY/USD,119.99710060887203,1999-10-01,1999,10,120.020295737895,99.98067399444372,-0
1999-11-01,人民幣CNY/USD,120.00869817338398,1999-11-01,1999,11,120.020295737895,99.99033699722226,-9.664870611954898e-5
1999-12-01,人民幣CNY/USD,120.024644824587,1999-12-01,1999,12,120.020295737895,100.00362362604196,-1.32879128311053e-4
2000-01-01,人民幣CNY/USD,120.024644824587,2000-01-01,2e3,1,120.024644824587,100,-0
2000-02-01,人民幣CNY/USD,120.00724847782,2000-02-01,2e3,2,120.024644824587,99.98550602104058,1.4493978959425341e-4
2000-03-01,人民幣CNY/USD,120.014496955639,2000-03-01,2e3,3,120.024644824587,99.99154517893986,-6.0400333404395866e-5
2000-04-01,人民幣CNY/USD,120.024644824587,2000-04-01,2e3,4,120.024644824587,100,-8.455535960582403e-5
2000-05-01,人民幣CNY/USD,120.00724847782,2000-05-01,2e3,5,120.024644824587,99.98550602104058,1.4493978959425341e-4
2000-06-01,人民幣CNY/USD,119.994201217744,2000-06-01,2e3,6,120.024644824587,99.97463553682039,1.0872060014278569e-4
2000-07-01,人民幣CNY/USD,120.02609452015099,2000-07-01,2e3,7,120.024644824587,100.00120783158002,-2.6579036389525775e-4
2000-08-01,人民幣CNY/USD,120.028993911279,2000-08-01,2e3,8,120.024644824587,100.00362349474005,-2.4156339832621154e-5
2000-09-01,人民幣CNY/USD,120.028993911279,2000-09-01,2e3,9,120.024644824587,100.00362349474005,-0
2000-10-01,人民幣CNY/USD,120.01304726007501,2000-10-01,2e3,10,120.024644824587,99.99033734735984,1.3285665974820246e-4
2000-11-01,人民幣CNY/USD,119.99710060887203,2000-11-01,2e3,11,120.024644824587,99.97705119998045,1.328743129771849e-4
2000-12-01,人民幣CNY/USD,119.994201217744,2000-12-01,2e3,12,120.024644824587,99.97463553682039,2.4162176530212916e-5
2001-01-01,人民幣CNY/USD,120,2001-01-01,2001,1,120,100,-4.832552070971443e-5
