期間,幣別,匯率,年月,年份,月份,年初匯率,調整後匯率,月升值率
2001-02-01,人民幣CNY/USD,119.99275152217999,2001-02-01,2001,2,120,99.99395960181666,6.040398183344564e-5
2001-03-01,人民幣CNY/USD,119.998550304436,2001-03-01,2001,3,120,99.99879192036333,-4.83261045558745e-5
2001-04-01,人民幣CNY/USD,119.99275152217999,2001-04-01,2001,4,120,99.99395960181666,4.8323769256348885e-5
2001-05-01,人民幣CNY/USD,119.99565091330801,2001-05-01,2001,5,120,99.99637576109001,-2.4163052278114897e-5
2001-06-01,人民幣CNY/USD,119.991301826616,2001-06-01,2001,6,120,99.99275152218,3.624370265851261e-5
2001-07-01,人民幣CNY/USD,119.98985213105199,2001-07-01,2001,7,120,99.99154344254333,1.208167210403556e-5
2001-08-01,人民幣CNY/USD,119.991301826616,2001-08-01,2001,8,120,99.99275152218,-1.2081818072599934e-5
2001-09-01,人民幣CNY/USD,119.98840243548898,2001-09-01,2001,9,120,99.99033536290747,2.4163344199780852e-5
2001-10-01,人民幣CNY/USD,119.98840243548898,2001-10-01,2001,10,120,99.99033536290747,-0
2001-11-01,人民幣CNY/USD,119.98985213105199,2001-11-01,2001,11,120,99.99154344254333,-1.2081964036400914e-5
2001-12-01,人民幣CNY/USD,119.98985213105199,2001-12-01,2001,12,120,99.99154344254333,-0
2002-01-01,人民幣CNY/USD,119.986952739925,2002-01-01,2002,1,119.986952739925,100,2.4163636136672634e-5
2002-02-01,人民幣CNY/USD,119.986952739925,2002-02-01,2002,2,119.986952739925,100,-0
2002-03-01,人民幣CNY/USD,119.99275152217999,2002-03-01,2002,3,119.986952739925,100.00483284400725,-4.832844007259503e-5
2002-04-01,人民幣CNY/USD,119.994201217744,2002-04-01,2002,4,119.986952739925,100.00604105500929,-1.2081526139116665e-5
2002-05-01,人民幣CNY/USD,119.991301826616,2002-05-01,2002,5,119.986952739925,100.00362463300524,2.4162760354975644e-5
2002-06-01,人民幣CNY/USD,119.99275152217999,2002-06-01,2002,6,119.986952739925,100.00483284400725,-1.2081672103917127e-5
2002-07-01,人民幣CNY/USD,119.98840243548898,2002-07-01,2002,7,119.986952739925,100.001208211002,3.6244578408586103e-5
2002-08-01,人民幣CNY/USD,119.986952739925,2002-08-01,2002,8,119.986952739925,100,1.208196404445451e-5
2002-09-01,人民幣CNY/USD,119.991301826616,2002-09-01,2002,9,119.986952739925,100.00362463300524,-3.624633005240324e-5
2002-10-01,人民幣CNY/USD,119.991301826616,2002-10-01,2002,10,119.986952739925,100.00362463300524,-0
