銀行,年月,利率
第一銀行,097/08,2.190
第一銀行,097/09,2.190
第一銀行,097/10,2.025
第一銀行,097/11,1.655
第一銀行,097/12,0.905
第一銀行,098/01,0.405
第一銀行,098/02,0.305
第一銀行,098/03,0.305
第一銀行,098/04,0.305
第一銀行,098/05,0.305
第一銀行,098/06,0.305
第一銀行,098/07,0.305
第一銀行,098/08,0.305
第一銀行,098/09,0.305
第一銀行,098/10,0.435
第一銀行,098/11,0.435
第一銀行,098/12,0.435
第一銀行,099/01,0.435
第一銀行,099/02,0.435
第一銀行,099/03,0.435
第一銀行,099/04,0.435
第一銀行,099/05,0.435
第一銀行,099/06,0.560
第一銀行,099/07,0.560
第一銀行,099/08,0.560
第一銀行,099/09,0.560
第一銀行,099/10,0.660
第一銀行,099/11,0.660
第一銀行,099/12,0.660
第一銀行,100/01,0.750
第一銀行,100/02,0.750
第一銀行,100/03,0.750
第一銀行,100/04,0.820
第一銀行,100/05,0.820
第一銀行,100/06,0.820
第一銀行,100/07,0.880
第一銀行,100/08,0.880
第一銀行,100/09,0.880
第一銀行,100/10,0.880
第一銀行,100/11,0.880
第一銀行,100/12,0.880
第一銀行,101/01,0.880
第一銀行,101/02,0.880
第一銀行,101/03,0.880
第一銀行,101/04,0.880
第一銀行,101/05,0.880
第一銀行,101/06,0.880
第一銀行,101/07,0.880
第一銀行,101/08,0.880
第一銀行,101/09,0.880
第一銀行,101/10,0.880
第一銀行,101/11,0.880
第一銀行,101/12,0.880
第一銀行,102/01,0.880
第一銀行,102/02,0.880
第一銀行,102/03,0.880
第一銀行,102/04,0.880
第一銀行,102/05,0.880
第一銀行,102/06,0.880
第一銀行,102/07,0.880
第一銀行,102/08,0.880
第一銀行,102/09,0.880
第一銀行,102/10,0.880
第一銀行,102/11,0.880
第一銀行,102/12,0.880
第一銀行,103/01,0.880
第一銀行,103/02,0.880
第一銀行,103/03,0.880
第一銀行,103/04,0.880
第一銀行,103/05,0.880
第一銀行,103/06,0.880
第一銀行,103/07,0.880
第一銀行,103/08,0.880
第一銀行,103/09,0.880
第一銀行,103/10,0.880
第一銀行,103/11,0.880
第一銀行,103/12,0.880
第一銀行,104/01,0.880
第一銀行,104/02,0.880
第一銀行,104/03,0.880
第一銀行,104/04,0.880
第一銀行,104/05,0.880
第一銀行,104/06,0.880
第一銀行,104/07,0.880
第一銀行,104/08,0.880
第一銀行,104/09,0.810
第一銀行,104/10,0.810
第一銀行,104/11,0.810
第一銀行,104/12,0.740
第一銀行,105/01,0.740
第一銀行,105/02,0.740
第一銀行,105/03,0.670
第一銀行,105/04,0.670
第一銀行,105/05,0.670
第一銀行,105/06,0.670
第一銀行,105/07,0.600
第一銀行,105/08,0.600
第一銀行,105/09,0.600
第一銀行,105/10,0.600
第一銀行,105/11,0.600
第一銀行,105/12,0.600
第一銀行,106/01,0.600
第一銀行,106/02,0.600
第一銀行,106/03,0.600
第一銀行,106/04,0.600
第一銀行,106/05,0.600
第一銀行,106/06,0.600
第一銀行,106/07,0.600
第一銀行,106/08,0.600
第一銀行,106/09,0.600
第一銀行,106/10,0.600
第一銀行,106/11,0.600
第一銀行,106/12,0.600
第一銀行,107/01,0.600
第一銀行,107/02,0.600
第一銀行,107/03,0.600
第一銀行,107/04,0.600
第一銀行,107/05,0.600
第一銀行,107/06,0.600
第一銀行,107/07,0.600
第一銀行,107/08,0.600
臺灣銀行,090/01,4.400
臺灣銀行,090/02,4.250
臺灣銀行,090/03,4.150
臺灣銀行,090/04,3.800
臺灣銀行,090/05,3.675
臺灣銀行,090/06,3.675
臺灣銀行,090/07,3.450
臺灣銀行,090/08,3.200
臺灣銀行,090/09,2.750
臺灣銀行,090/10,2.500
臺灣銀行,090/11,2.200
臺灣銀行,090/12,2.200
臺灣銀行,091/01,2.000
臺灣銀行,091/02,2.000
臺灣銀行,091/03,2.000
臺灣銀行,091/04,2.100
臺灣銀行,091/05,2.100
臺灣銀行,091/06,2.100
臺灣銀行,091/07,1.800
臺灣銀行,091/08,1.800
臺灣銀行,091/09,1.800
臺灣銀行,091/10,1.800
臺灣銀行,091/11,1.550
臺灣銀行,091/12,1.550
臺灣銀行,092/01,1.200
臺灣銀行,092/02,1.200
臺灣銀行,092/03,1.200
臺灣銀行,092/04,1.200
臺灣銀行,092/05,1.200
臺灣銀行,092/06,1.200
臺灣銀行,092/07,1.075
臺灣銀行,092/08,1.075
臺灣銀行,092/09,1.075
臺灣銀行,092/10,1.075
臺灣銀行,092/11,1.075
臺灣銀行,092/12,1.075
臺灣銀行,093/01,1.075
臺灣銀行,093/02,1.075
臺灣銀行,093/03,1.075
臺灣銀行,093/04,1.075
臺灣銀行,093/05,1.075
臺灣銀行,093/06,1.075
臺灣銀行,093/07,1.075
臺灣銀行,093/08,1.075
臺灣銀行,093/09,1.075
臺灣銀行,093/10,1.150
臺灣銀行,093/11,1.150
臺灣銀行,093/12,1.150
臺灣銀行,094/01,1.215
臺灣銀行,094/02,1.215
臺灣銀行,094/03,1.285
臺灣銀行,094/04,1.285
臺灣銀行,094/05,1.285
臺灣銀行,094/06,1.285
臺灣銀行,094/07,1.355
臺灣銀行,094/08,1.355
臺灣銀行,094/09,1.425
臺灣銀行,094/10,1.425
臺灣銀行,094/11,1.425
臺灣銀行,094/12,1.495
臺灣銀行,095/01,1.495
臺灣銀行,095/02,1.495
臺灣銀行,095/03,1.495
臺灣銀行,095/04,1.565
臺灣銀行,095/05,1.565
臺灣銀行,095/06,1.565
臺灣銀行,095/07,1.635
臺灣銀行,095/08,1.635
臺灣銀行,095/09,1.635
臺灣銀行,095/10,1.705
臺灣銀行,095/11,1.705
臺灣銀行,095/12,1.705
臺灣銀行,096/01,1.735
臺灣銀行,096/02,1.735
臺灣銀行,096/03,1.735
臺灣銀行,096/04,1.765
臺灣銀行,096/05,1.765
臺灣銀行,096/06,1.965
臺灣銀行,096/07,1.965
臺灣銀行,096/08,1.965
臺灣銀行,096/09,2.025
臺灣銀行,096/10,2.025
臺灣銀行,096/11,2.025
臺灣銀行,096/12,2.085
臺灣銀行,097/01,2.085
臺灣銀行,097/02,2.085
臺灣銀行,097/03,2.085
臺灣銀行,097/04,2.135
臺灣銀行,097/05,2.135
臺灣銀行,097/06,2.195
臺灣銀行,097/07,2.195
臺灣銀行,097/08,2.195
臺灣銀行,097/09,2.145
臺灣銀行,097/10,1.905
臺灣銀行,097/11,1.655
臺灣銀行,097/12,0.945
臺灣銀行,098/01,0.495
臺灣銀行,098/02,0.445
臺灣銀行,098/03,0.445
臺灣銀行,098/04,0.445
臺灣銀行,098/05,0.445
臺灣銀行,098/06,0.445
臺灣銀行,098/07,0.445
臺灣銀行,098/08,0.445
臺灣銀行,098/09,0.445
臺灣銀行,098/10,0.580
臺灣銀行,098/11,0.580
臺灣銀行,098/12,0.580
臺灣銀行,099/01,0.580
臺灣銀行,099/02,0.580
臺灣銀行,099/03,0.580
臺灣銀行,099/04,0.580
臺灣銀行,099/05,0.580
臺灣銀行,099/06,0.650
臺灣銀行,099/07,0.650
臺灣銀行,099/08,0.650
臺灣銀行,099/09,0.650
臺灣銀行,099/10,0.700
臺灣銀行,099/11,0.700
臺灣銀行,099/12,0.700
臺灣銀行,100/01,0.750
臺灣銀行,100/02,0.750
臺灣銀行,100/03,0.750
臺灣銀行,100/04,0.820
臺灣銀行,100/05,0.820
臺灣銀行,100/06,0.820
臺灣銀行,100/07,0.880
臺灣銀行,100/08,0.880
臺灣銀行,100/09,0.880
臺灣銀行,100/10,0.880
臺灣銀行,100/11,0.880
臺灣銀行,100/12,0.880
臺灣銀行,101/01,0.880
臺灣銀行,101/02,0.880
臺灣銀行,101/03,0.880
臺灣銀行,101/04,0.880
臺灣銀行,101/05,0.880
臺灣銀行,101/06,0.880
臺灣銀行,101/07,0.880
臺灣銀行,101/08,0.880
臺灣銀行,101/09,0.880
臺灣銀行,101/10,0.880
臺灣銀行,101/11,0.880
臺灣銀行,101/12,0.880
臺灣銀行,102/01,0.880
臺灣銀行,102/02,0.880
臺灣銀行,102/03,0.880
臺灣銀行,102/04,0.880
臺灣銀行,102/05,0.880
臺灣銀行,102/06,0.880
臺灣銀行,102/07,0.880
臺灣銀行,102/08,0.880
臺灣銀行,102/09,0.880
臺灣銀行,102/10,0.880
臺灣銀行,102/11,0.880
臺灣銀行,102/12,0.880
臺灣銀行,103/01,0.880
臺灣銀行,103/02,0.880
臺灣銀行,103/03,0.880
臺灣銀行,103/04,0.880
臺灣銀行,103/05,0.880
臺灣銀行,103/06,0.880
臺灣銀行,103/07,0.880
臺灣銀行,103/08,0.880
臺灣銀行,103/09,0.880
臺灣銀行,103/10,0.880
臺灣銀行,103/11,0.880
臺灣銀行,103/12,0.880
臺灣銀行,104/01,0.880
臺灣銀行,104/02,0.880
臺灣銀行,104/03,0.880
臺灣銀行,104/04,0.880
臺灣銀行,104/05,0.880
臺灣銀行,104/06,0.880
臺灣銀行,104/07,0.880
臺灣銀行,104/08,0.880
臺灣銀行,104/09,0.810
臺灣銀行,104/10,0.810
臺灣銀行,104/11,0.810
臺灣銀行,104/12,0.740
臺灣銀行,105/01,0.740
臺灣銀行,105/02,0.740
臺灣銀行,105/03,0.670
臺灣銀行,105/04,0.670
臺灣銀行,105/05,0.670
臺灣銀行,105/06,0.670
臺灣銀行,105/07,0.600
臺灣銀行,105/08,0.600
臺灣銀行,105/09,0.600
臺灣銀行,105/10,0.600
臺灣銀行,105/11,0.600
臺灣銀行,105/12,0.600
臺灣銀行,106/01,0.600
臺灣銀行,106/02,0.600
臺灣銀行,106/03,0.600
臺灣銀行,106/04,0.600
臺灣銀行,106/05,0.600
臺灣銀行,106/06,0.600
臺灣銀行,106/07,0.600
臺灣銀行,106/08,0.600
臺灣銀行,106/09,0.600
臺灣銀行,106/10,0.600
臺灣銀行,106/11,0.600
臺灣銀行,106/12,0.600
臺灣銀行,107/01,0.600
臺灣銀行,107/02,0.600
臺灣銀行,107/03,0.600
臺灣銀行,107/04,0.600
臺灣銀行,107/05,0.600
臺灣銀行,107/06,0.600
臺灣銀行,107/07,0.600
臺灣銀行,107/08,0.600
合作金庫,090/01,4.400
合作金庫,090/02,4.250
合作金庫,090/03,4.150
合作金庫,090/04,3.800
合作金庫,090/05,3.750
合作金庫,090/06,3.750
合作金庫,090/07,3.550
合作金庫,090/08,3.300
合作金庫,090/09,2.900
合作金庫,090/10,2.500
合作金庫,090/11,2.200
合作金庫,090/12,2.000
合作金庫,091/01,2.000
合作金庫,091/02,2.000
合作金庫,091/03,2.000
合作金庫,091/04,2.100
合作金庫,091/05,2.100
合作金庫,091/06,1.950
合作金庫,091/07,1.750
合作金庫,091/08,1.750
合作金庫,091/09,1.750
合作金庫,091/10,1.750
合作金庫,091/11,1.500
合作金庫,091/12,1.500
合作金庫,092/01,1.200
合作金庫,092/02,1.200
合作金庫,092/03,1.200
合作金庫,092/04,1.200
合作金庫,092/05,1.200
合作金庫,092/06,1.200
合作金庫,092/07,1.075
合作金庫,092/08,1.075
合作金庫,092/09,1.075
合作金庫,092/10,1.075
合作金庫,092/11,1.075
合作金庫,092/12,1.075
合作金庫,093/01,1.075
合作金庫,093/02,1.075
合作金庫,093/03,1.075
合作金庫,093/04,1.075
合作金庫,093/05,1.075
合作金庫,093/06,1.075
合作金庫,093/07,1.075
合作金庫,093/08,1.075
合作金庫,093/09,1.075
合作金庫,093/10,1.150
合作金庫,093/11,1.150
合作金庫,093/12,1.150
合作金庫,094/01,1.215
合作金庫,094/02,1.215
合作金庫,094/03,1.285
合作金庫,094/04,1.285
合作金庫,094/05,1.285
合作金庫,094/06,1.285
合作金庫,094/07,1.355
合作金庫,094/08,1.355
合作金庫,094/09,1.425
合作金庫,094/10,1.425
合作金庫,094/11,1.425
合作金庫,094/12,1.495
合作金庫,095/01,1.495
合作金庫,095/02,1.495
合作金庫,095/03,1.495
合作金庫,095/04,1.565
合作金庫,095/05,1.565
合作金庫,095/06,1.565
合作金庫,095/07,1.635
合作金庫,095/08,1.635
合作金庫,095/09,1.635
合作金庫,095/10,1.705
合作金庫,095/11,1.705
合作金庫,095/12,1.705
合作金庫,096/01,1.735
合作金庫,096/02,1.735
合作金庫,096/03,1.735
合作金庫,096/04,1.765
合作金庫,096/05,1.765
合作金庫,096/06,1.965
合作金庫,096/07,1.965
合作金庫,096/08,1.965
合作金庫,096/09,2.025
合作金庫,096/10,2.025
合作金庫,096/11,2.025
合作金庫,096/12,2.085
合作金庫,097/01,2.085
合作金庫,097/02,2.085
合作金庫,097/03,2.085
合作金庫,097/04,2.135
合作金庫,097/05,2.135
合作金庫,097/06,2.135
合作金庫,097/07,2.195
合作金庫,097/08,2.195
合作金庫,097/09,2.145
合作金庫,097/10,1.925
合作金庫,097/11,1.655
合作金庫,097/12,0.905
合作金庫,098/01,0.405
合作金庫,098/02,0.355
合作金庫,098/03,0.355
合作金庫,098/04,0.355
合作金庫,098/05,0.355
合作金庫,098/06,0.355
合作金庫,098/07,0.355
合作金庫,098/08,0.355
合作金庫,098/09,0.355
合作金庫,098/10,0.455
合作金庫,098/11,0.455
合作金庫,098/12,0.455
合作金庫,099/01,0.455
合作金庫,099/02,0.455
合作金庫,099/03,0.455
合作金庫,099/04,0.455
合作金庫,099/05,0.455
合作金庫,099/06,0.580
合作金庫,099/07,0.580
合作金庫,099/08,0.580
合作金庫,099/09,0.580
合作金庫,099/10,0.660
合作金庫,099/11,0.660
合作金庫,099/12,0.660
合作金庫,100/01,0.750
合作金庫,100/02,0.750
合作金庫,100/03,0.750
合作金庫,100/04,0.820
合作金庫,100/05,0.820
合作金庫,100/06,0.820
合作金庫,100/07,0.880
合作金庫,100/08,0.880
合作金庫,100/09,0.880
合作金庫,100/10,0.880
合作金庫,100/11,0.880
合作金庫,100/12,0.880
合作金庫,101/01,0.880
合作金庫,101/02,0.880
合作金庫,101/03,0.880
合作金庫,101/04,0.880
合作金庫,101/05,0.880
合作金庫,101/06,0.880
合作金庫,101/07,0.880
合作金庫,101/08,0.880
合作金庫,101/09,0.880
合作金庫,101/10,0.880
合作金庫,101/11,0.880
合作金庫,101/12,0.880
合作金庫,102/01,0.880
合作金庫,102/02,0.880
合作金庫,102/03,0.880
合作金庫,102/04,0.880
合作金庫,102/05,0.880
合作金庫,102/06,0.880
合作金庫,102/07,0.880
合作金庫,102/08,0.880
合作金庫,102/09,0.880
合作金庫,102/10,0.880
合作金庫,102/11,0.880
合作金庫,102/12,0.880
合作金庫,103/01,0.880
合作金庫,103/02,0.880
合作金庫,103/03,0.880
合作金庫,103/04,0.880
合作金庫,103/05,0.880
合作金庫,103/06,0.880
合作金庫,103/07,0.880
合作金庫,103/08,0.880
合作金庫,103/09,0.880
合作金庫,103/10,0.880
合作金庫,103/11,0.880
合作金庫,103/12,0.880
合作金庫,104/01,0.880
合作金庫,104/02,0.880
合作金庫,104/03,0.880
合作金庫,104/04,0.880
合作金庫,104/05,0.880
合作金庫,104/06,0.880
合作金庫,104/07,0.880
合作金庫,104/08,0.880
合作金庫,104/09,0.810
合作金庫,104/10,0.810
合作金庫,104/11,0.810
合作金庫,104/12,0.740
合作金庫,105/01,0.740
合作金庫,105/02,0.740
合作金庫,105/03,0.670
合作金庫,105/04,0.670
合作金庫,105/05,0.670
合作金庫,105/06,0.670
合作金庫,105/07,0.600
合作金庫,105/08,0.600
合作金庫,105/09,0.600
合作金庫,105/10,0.600
合作金庫,105/11,0.600
合作金庫,105/12,0.600
合作金庫,106/01,0.600
合作金庫,106/02,0.600
合作金庫,106/03,0.600
合作金庫,106/04,0.600
合作金庫,106/05,0.600
合作金庫,106/06,0.600
合作金庫,106/07,0.600
合作金庫,106/08,0.600
合作金庫,106/09,0.600
合作金庫,106/10,0.600
合作金庫,106/11,0.600
合作金庫,106/12,0.600
合作金庫,107/01,0.600
合作金庫,107/02,0.600
合作金庫,107/03,0.600
合作金庫,107/04,0.600
合作金庫,107/05,0.600
合作金庫,107/06,0.600
合作金庫,107/07,0.600
合作金庫,107/08,0.600
土地銀行,097/11,1.655
土地銀行,097/12,0.905
土地銀行,098/01,0.405
土地銀行,098/02,0.355
土地銀行,098/03,0.355
土地銀行,098/04,0.355
土地銀行,098/05,0.355
土地銀行,098/06,0.355
土地銀行,098/07,0.355
土地銀行,098/08,0.355
土地銀行,098/09,0.355
土地銀行,098/10,0.455
土地銀行,098/11,0.455
土地銀行,098/12,0.455
土地銀行,099/01,0.455
土地銀行,099/02,0.455
土地銀行,099/03,0.455
土地銀行,099/04,0.455
土地銀行,099/05,0.455
土地銀行,099/06,0.540
土地銀行,099/07,0.540
土地銀行,099/08,0.540
土地銀行,099/09,0.540
土地銀行,099/10,0.660
土地銀行,099/11,0.660
土地銀行,099/12,0.660
土地銀行,100/01,0.750
土地銀行,100/02,0.750
土地銀行,100/03,0.750
土地銀行,100/04,0.750
土地銀行,100/05,0.750
土地銀行,100/06,0.750
土地銀行,100/07,0.880
土地銀行,100/08,0.880
土地銀行,100/09,0.880
土地銀行,100/10,0.880
土地銀行,100/11,0.880
土地銀行,100/12,0.880
土地銀行,101/01,0.880
土地銀行,101/02,0.880
土地銀行,101/03,0.880
土地銀行,101/04,0.880
土地銀行,101/05,0.880
土地銀行,101/06,0.880
土地銀行,101/07,0.880
土地銀行,101/08,0.880
土地銀行,101/09,0.880
土地銀行,101/10,0.880
土地銀行,101/11,0.880
土地銀行,101/12,0.880
土地銀行,102/01,0.880
土地銀行,102/02,0.880
土地銀行,102/03,0.880
土地銀行,102/04,0.880
土地銀行,102/05,0.880
土地銀行,102/06,0.880
土地銀行,102/07,0.880
土地銀行,102/08,0.880
土地銀行,102/09,0.880
土地銀行,102/10,0.880
土地銀行,102/11,0.880
土地銀行,102/12,0.880
土地銀行,103/01,0.880
土地銀行,103/02,0.880
土地銀行,103/03,0.880
土地銀行,103/04,0.880
土地銀行,103/05,0.880
土地銀行,103/06,0.880
土地銀行,103/07,0.880
土地銀行,103/08,0.880
土地銀行,103/09,0.880
土地銀行,103/10,0.880
土地銀行,103/11,0.880
土地銀行,103/12,0.880
土地銀行,104/01,0.880
土地銀行,104/02,0.880
土地銀行,104/03,0.880
土地銀行,104/04,0.880
土地銀行,104/05,0.880
土地銀行,104/06,0.880
土地銀行,104/07,0.880
土地銀行,104/08,0.880
土地銀行,104/09,0.810
土地銀行,104/10,0.810
土地銀行,104/11,0.810
土地銀行,104/12,0.740
土地銀行,105/01,0.740
土地銀行,105/02,0.740
土地銀行,105/03,0.670
土地銀行,105/04,0.670
土地銀行,105/05,0.670
土地銀行,105/06,0.670
土地銀行,105/07,0.600
土地銀行,105/08,0.600
土地銀行,105/09,0.600
土地銀行,105/10,0.600
土地銀行,105/11,0.600
土地銀行,105/12,0.600
土地銀行,106/01,0.600
土地銀行,106/02,0.600
土地銀行,106/03,0.600
土地銀行,106/04,0.600
土地銀行,106/05,0.600
土地銀行,106/06,0.600
土地銀行,106/07,0.600
土地銀行,106/08,0.600
土地銀行,106/09,0.600
土地銀行,106/10,0.600
土地銀行,106/11,0.600
土地銀行,106/12,0.600
土地銀行,107/01,0.600
土地銀行,107/02,0.600
土地銀行,107/03,0.600
土地銀行,107/04,0.600
土地銀行,107/05,0.600
土地銀行,107/06,0.600
土地銀行,107/07,0.600
土地銀行,107/08,0.600
彰化銀行,090/01,4.300
彰化銀行,090/02,4.300
彰化銀行,090/03,4.200
彰化銀行,090/04,3.900
彰化銀行,090/05,3.700
彰化銀行,090/06,3.700
彰化銀行,090/07,3.500
彰化銀行,090/08,3.250
彰化銀行,090/09,2.900
彰化銀行,090/10,2.550
彰化銀行,090/11,2.150
彰化銀行,090/12,2.150
彰化銀行,091/01,2.000
彰化銀行,091/02,2.000
彰化銀行,091/03,2.000
彰化銀行,091/04,2.000
彰化銀行,091/05,2.000
彰化銀行,091/06,2.000
彰化銀行,091/07,1.700
彰化銀行,091/08,1.700
彰化銀行,091/09,1.700
彰化銀行,091/10,1.700
彰化銀行,091/11,1.450
彰化銀行,091/12,1.450
彰化銀行,092/01,1.150
彰化銀行,092/02,1.150
彰化銀行,092/03,1.150
彰化銀行,092/04,1.150
彰化銀行,092/05,1.150
彰化銀行,092/06,1.150
彰化銀行,092/07,1.025
彰化銀行,092/08,1.025
彰化銀行,092/09,1.025
彰化銀行,092/10,1.025
彰化銀行,092/11,1.025
彰化銀行,092/12,1.025
彰化銀行,093/01,1.025
彰化銀行,093/02,1.025
彰化銀行,093/03,1.025
彰化銀行,093/04,1.025
彰化銀行,093/05,1.025
彰化銀行,093/06,1.025
彰化銀行,093/07,1.025
彰化銀行,093/08,1.025
彰化銀行,093/09,1.025
彰化銀行,093/10,1.155
彰化銀行,093/11,1.155
彰化銀行,093/12,1.155
彰化銀行,094/01,1.220
彰化銀行,094/02,1.220
彰化銀行,094/03,1.290
彰化銀行,094/04,1.290
彰化銀行,094/05,1.290
彰化銀行,094/06,1.290
彰化銀行,094/07,1.360
彰化銀行,094/08,1.360
彰化銀行,094/09,1.430
彰化銀行,094/10,1.430
彰化銀行,094/11,1.430
彰化銀行,094/12,1.500
彰化銀行,095/01,1.500
彰化銀行,095/02,1.500
彰化銀行,095/03,1.500
彰化銀行,095/04,1.570
彰化銀行,095/05,1.570
彰化銀行,095/06,1.570
彰化銀行,095/07,1.635
彰化銀行,095/08,1.635
彰化銀行,095/09,1.635
彰化銀行,095/10,1.705
彰化銀行,095/11,1.705
彰化銀行,095/12,1.705
彰化銀行,096/01,1.735
彰化銀行,096/02,1.735
彰化銀行,096/03,1.735
彰化銀行,096/04,1.765
彰化銀行,096/05,1.765
彰化銀行,096/06,1.965
彰化銀行,096/07,1.965
彰化銀行,096/08,1.965
彰化銀行,096/09,2.025
彰化銀行,096/10,2.025
彰化銀行,096/11,2.025
彰化銀行,096/12,2.085
彰化銀行,097/01,2.085
彰化銀行,097/02,2.085
彰化銀行,097/03,2.085
彰化銀行,097/04,2.135
彰化銀行,097/05,2.135
彰化銀行,097/06,2.135
彰化銀行,097/07,2.195
彰化銀行,097/08,2.195
彰化銀行,097/09,2.195
彰化銀行,097/10,2.025
彰化銀行,097/11,1.675
華南銀行,090/01,4.300
華南銀行,090/02,4.300
華南銀行,090/03,4.200
華南銀行,090/04,3.900
華南銀行,090/05,3.700
華南銀行,090/06,3.700
華南銀行,090/07,3.500
華南銀行,090/08,3.250
華南銀行,090/09,2.900
華南銀行,090/10,2.550
華南銀行,090/11,2.150
華南銀行,090/12,2.150
華南銀行,091/01,2.000
華南銀行,091/02,2.000
華南銀行,091/03,2.000
華南銀行,091/04,2.000
華南銀行,091/05,2.000
華南銀行,091/06,1.950
華南銀行,091/07,1.700
華南銀行,091/08,1.700
華南銀行,091/09,1.700
華南銀行,091/10,1.700
華南銀行,091/11,1.450
華南銀行,091/12,1.450
華南銀行,092/01,1.150
華南銀行,092/02,1.150
華南銀行,092/03,1.150
華南銀行,092/04,1.150
華南銀行,092/05,1.150
華南銀行,092/06,1.150
華南銀行,092/07,1.025
華南銀行,092/08,1.025
華南銀行,092/09,1.025
華南銀行,092/10,1.025
華南銀行,092/11,1.025
華南銀行,092/12,1.025
華南銀行,093/01,1.025
華南銀行,093/02,1.025
華南銀行,093/03,1.025
華南銀行,093/04,1.025
華南銀行,093/05,1.025
華南銀行,093/06,1.025
華南銀行,093/07,1.025
華南銀行,093/08,1.025
華南銀行,093/09,1.025
華南銀行,093/10,1.155
華南銀行,093/11,1.155
華南銀行,093/12,1.155
華南銀行,094/01,1.220
華南銀行,094/02,1.220
華南銀行,094/03,1.290
華南銀行,094/04,1.290
華南銀行,094/05,1.290
華南銀行,094/06,1.290
華南銀行,094/07,1.360
華南銀行,094/08,1.360
華南銀行,094/09,1.430
華南銀行,094/10,1.430
華南銀行,094/11,1.430
華南銀行,094/12,1.500
華南銀行,095/01,1.500
華南銀行,095/02,1.500
華南銀行,095/03,1.500
華南銀行,095/04,1.570
華南銀行,095/05,1.570
華南銀行,095/06,1.570
華南銀行,095/07,1.640
華南銀行,095/08,1.640
華南銀行,095/09,1.640
華南銀行,095/10,1.710
華南銀行,095/11,1.710
華南銀行,095/12,1.710
華南銀行,096/01,1.740
華南銀行,096/02,1.740
華南銀行,096/03,1.740
華南銀行,096/04,1.770
華南銀行,096/05,1.770
華南銀行,096/06,1.970
華南銀行,096/07,1.970
華南銀行,096/08,1.970
華南銀行,096/09,2.030
華南銀行,096/10,2.030
華南銀行,096/11,2.030
華南銀行,096/12,2.090
華南銀行,097/01,2.090
華南銀行,097/02,2.090
華南銀行,097/03,2.090
華南銀行,097/04,2.130
華南銀行,097/05,2.130
華南銀行,097/06,2.130
華南銀行,097/07,2.190
華南銀行,097/08,2.190
華南銀行,097/09,2.190
華南銀行,097/10,2.025
華南銀行,097/11,1.655
華南銀行,097/12,0.905
華南銀行,098/01,0.405
華南銀行,098/02,0.305
華南銀行,098/03,0.305
華南銀行,098/04,0.305
華南銀行,098/05,0.305
華南銀行,098/06,0.305
華南銀行,098/07,0.305
華南銀行,098/08,0.305
華南銀行,098/09,0.305
華南銀行,098/10,0.435
華南銀行,098/11,0.435
華南銀行,098/12,0.435
華南銀行,099/01,0.435
華南銀行,099/02,0.435
華南銀行,099/03,0.435
華南銀行,099/04,0.435
